iguanaID,diet,tx,time,totri
1,g,g0,0324totri,1.419491525
2,w,w0,0324totri,1.25
2,w,w107,0624totri,4.303030303
3,g,g107,0624totri,4.21010101
4,g,g0,0324totri,0.463983051
4,g,g107,0624totri,7.670707071
5,w,w0,0324totri,1.773305085
5,w,w107,0624totri,2.909090909
6,w,w0,0324totri,1.175847458
6,w,w107,0624totri,2.206060606
7,g,g0,0324totri,1.908898305
7,g,g107,0624totri,4.351515152
8,g,g0,0324totri,1.277542373
8,g,g107,0624totri,7.61010101
9,w,w107,0624totri,2.543434343
10,w,w107,0624totri,6.66185567
11,g,g0,0324totri,2.093220339
11,g,g107,0624totri,6.037113402
12,w,w0,0324totri,1.582627119
12,w,w107,0624totri,3.208247423
13,g,g0,0324totri,1.665254237
13,g,g107,0624totri,6.731958763
14,g,g0,0324totri,1.271186441
14,g,g107,0624totri,6.529896907
15,g,g0,0324totri,0.688559322
15,g,g107,0624totri,5.121649485
16,w,w0,0324totri,1.014830508
16,w,w107,0624totri,4.610309278
17,w,w0,0324totri,0.701271186
17,w,w107,0624totri,5.839175258
18,g,g0,0324totri,2.218220339
18,g,g107,0624totri,4.909278351
19,w,w0,0324totri,2.417372881
19,w,w107,0624totri,5.571134021
20,w,w0,0324totri,2.389830508
20,w,w107,0624totri,4.432989691
21,w,w0,0324totri,0.902542373
21,w,w107,0624totri,2.670103093
22,g,g0,0324totri,1.548728814
22,g,g107,0624totri,4.569072165
23,g,g0,0324totri,2.021186441
23,g,g107,0624totri,7.560824742
24,g,g0,0324totri,0.724576271
24,g,g107,0624totri,9.210309278
25,g,g0,0324totri,2.794491525
25,g,g107,0624totri,8.944329897
26,w,w0,0324totri,1.061440678
26,w,w107,0624totri,4.032989691
27,w,w0,0324totri,0.669491525
27,w,w107,0624totri,5.907216495
28,g,g0,0324totri,0.781779661
28,g,g107,0624totri,9.560824742
29,g,g0,0324totri,1.745762712
29,g,g107,0624totri,8.971134021
30,w,w0,0324totri,2.033898305
30,w,w107,0624totri,2.832989691
31,g,g0,0324totri,1.228813559
31,g,g107,0624totri,7.884536082
32,w,w0,0324totri,1.697033898
32,w,w107,0624totri,3.707216495
33,w,w0,0324totri,1.177966102
33,w,w107,0624totri,1.913402062
34,w,w0,0324totri,0.830508475
34,w,w107,0624totri,2.418556701
35,w,w0,0324totri,2.355932203
35,w,w107,0624totri,3.562886598
36,g,g0,0324totri,2.025423729
36,g,g107,0624totri,5.222680412
