iguanaID,tx,diet,lps,time,agg
1,G-C,g,c,0324agg,2
1,G-C,g,c,0423agg,2
1,G-C,g,c,0428agg,0
1,G-C,g,c,0430agg,0.666666667
1,G-C,g,c,0504agg,0.666666667
1,G-C,g,c,0511agg,3
1,G-C,g,c,0525agg,1.666666667
1,G-C,g,c,0528agg,1
1,G-C,g,c,0530agg,2.333333333
1,G-C,g,c,0603agg,2
1,G-C,g,c,0610agg,2.666666667
2,W-L,w,l,0324agg,2
2,W-L,w,l,0423agg,2
2,W-L,w,l,0428agg,1
2,W-L,w,l,0430agg,0
2,W-L,w,l,0504agg,1
2,W-L,w,l,0511agg,5.666666667
2,W-L,w,l,0525agg,3.666666667
2,W-L,w,l,0528agg,4
2,W-L,w,l,0530agg,3.666666667
2,W-L,w,l,0603agg,2
2,W-L,w,l,0610agg,2.333333333
2,W-L,w,l,0624agg,3
2,W-L,w,l,0628agg,3.666666667
3,G-C,g,c,0324agg,0
3,G-C,g,c,0423agg,0
3,G-C,g,c,0428agg,0
3,G-C,g,c,0430agg,0
3,G-C,g,c,0511agg,0
3,G-C,g,c,0525agg,3
3,G-C,g,c,0528agg,1
3,G-C,g,c,0530agg,0.666666667
3,G-C,g,c,0603agg,1
3,G-C,g,c,0610agg,6.333333333
3,G-C,g,c,0624agg,0
3,G-C,g,c,0628agg,0.666666667
4,G-L,g,l,0324agg,3
4,G-L,g,l,0423agg,2
4,G-L,g,l,0428agg,1
4,G-L,g,l,0430agg,2.333333333
4,G-L,g,l,0504agg,7.666666667
4,G-L,g,l,0511agg,4
4,G-L,g,l,0525agg,5.333333333
4,G-L,g,l,0528agg,4
4,G-L,g,l,0530agg,1
4,G-L,g,l,0603agg,1
4,G-L,g,l,0610agg,2.333333333
4,G-L,g,l,0624agg,2.666666667
4,G-L,g,l,0628agg,2.666666667
5,W-L,w,l,0324agg,3
5,W-L,w,l,0423agg,2
5,W-L,w,l,0428agg,1.333333333
5,W-L,w,l,0430agg,2
5,W-L,w,l,0504agg,3.333333333
5,W-L,w,l,0511agg,2.333333333
5,W-L,w,l,0525agg,2.666666667
5,W-L,w,l,0528agg,2
5,W-L,w,l,0530agg,4
5,W-L,w,l,0610agg,2.333333333
5,W-L,w,l,0624agg,5.333333333
5,W-L,w,l,0628agg,1
6,W-C,w,c,0324agg,0.666666667
6,W-C,w,c,0423agg,2
6,W-C,w,c,0428agg,0
6,W-C,w,c,0504agg,0
6,W-C,w,c,0511agg,0
6,W-C,w,c,0525agg,0
6,W-C,w,c,0528agg,1
6,W-C,w,c,0530agg,0
6,W-C,w,c,0603agg,0
6,W-C,w,c,0610agg,0
