iguanaID,tx,diet,lps,time,bka
1,G-C,g,c,0423bka,67.56352765
1,G-C,g,c,0428bka,77.70083102
1,G-C,g,c,0430bka,69.54196698
1,G-C,g,c,0504bka,0
1,G-C,g,c,0511bka,0
1,G-C,g,c,0525bka,78.36662053
2,W-L,w,l,0423bka,60.93672147
2,W-L,w,l,0428bka,87.07294552
2,W-L,w,l,0430bka,0
2,W-L,w,l,0504bka,68.94042747
2,W-L,w,l,0511bka,76.74510579
2,W-L,w,l,0525bka,77.85248171
3,G-C,g,c,0423bka,65.52067763
3,G-C,g,c,0428bka,91.04339797
3,G-C,g,c,0430bka,61.12531969
3,G-C,g,c,0504bka,0
3,G-C,g,c,0511bka,0
3,G-C,g,c,0525bka,55.90270912
4,G-L,g,l,0423bka,57.24962631
4,G-L,g,l,0428bka,95.61403509
4,G-L,g,l,0430bka,47.36107882
4,G-L,g,l,0504bka,15.9163256
4,G-L,g,l,0511bka,0
4,G-L,g,l,0525bka,51.19636148
5,W-L,w,l,0423bka,60.5879422
5,W-L,w,l,0428bka,100
5,W-L,w,l,0430bka,71.82050686
5,W-L,w,l,0504bka,48.52205548
5,W-L,w,l,0511bka,0
5,W-L,w,l,0525bka,78.72256278
6,W-C,w,c,0423bka,71.69905331
6,W-C,w,c,0428bka,79.68605725
6,W-C,w,c,0430bka,68.84445478
6,W-C,w,c,0504bka,69.84993179
6,W-C,w,c,0511bka,82.75657504
6,W-C,w,c,0525bka,80.0276844
7,G-C,g,c,0423bka,71.89835575
7,G-C,g,c,0428bka,76.08494922
7,G-C,g,c,0430bka,69.68146943
7,G-C,g,c,0504bka,46.20281946
7,G-C,g,c,0511bka,87.5815701
7,G-C,g,c,0525bka,82.7170259
8,G-L,g,l,0423bka,69.60637768
8,G-L,g,l,0428bka,88.18097876
8,G-L,g,l,0430bka,0
8,G-L,g,l,0504bka,57.79899955
8,G-L,g,l,0511bka,73.30433063
8,G-L,g,l,0525bka,0
9,W-C,w,c,0423bka,71.10114599
9,W-C,w,c,0430bka,67.58893281
9,W-C,w,c,0504bka,61.30059118
9,W-C,w,c,0511bka,68.59798299
9,W-C,w,c,0525bka,78.8412102
10,W-L,w,l,0423bka,57.39910314
10,W-L,w,l,0428bka,90.72022161
10,W-L,w,l,0430bka,72.05301093
10,W-L,w,l,0504bka,0
10,W-L,w,l,0511bka,0
10,W-L,w,l,0525bka,0
11,G-C,g,c,0423bka,69.95515695
11,G-C,g,c,0428bka,100
11,G-C,g,c,0430bka,0
11,G-C,g,c,0504bka,19.69076853
11,G-C,g,c,0511bka,85.08997429
11,G-C,g,c,0525bka,82.64608169
12,W-L,w,l,0423bka,52.91479821
12,W-L,w,l,0428bka,93.58264081
12,W-L,w,l,0430bka,72.75052313
12,W-L,w,l,0504bka,0
12,W-L,w,l,0511bka,79.0389559
12,W-L,w,l,0525bka,30.27164354
13,G-C,g,c,0423bka,66.56701545
13,G-C,g,c,0428bka,100
13,G-C,g,c,0430bka,73.12252964
13,G-C,g,c,0504bka,32.92405639
13,G-C,g,c,0511bka,0
13,G-C,g,c,0525bka,0
14,G-L,g,l,0423bka,69.40707524
14,G-L,g,l,0428bka,89.51985226
14,G-L,g,l,0430bka,74.14554755
14,G-L,g,l,0504bka,0
14,G-L,g,l,0511bka,82.40063279
14,G-L,g,l,0525bka,85.18663279
15,G-C,g,c,0423bka,0
15,G-C,g,c,0428bka,90.72022161
15,G-C,g,c,0430bka,70.19297838
15,G-C,g,c,0504bka,0
15,G-C,g,c,0511bka,71.84101246
15,G-C,g,c,0525bka,0
16,W-C,w,c,0423bka,72.99451918
16,W-C,w,c,0428bka,95.52169898
16,W-C,w,c,0430bka,72.33201581
16,W-C,w,c,0504bka,65.43883583
16,W-C,w,c,0511bka,80.2254301
16,W-C,w,c,0525bka,84.60035177
17,W-L,w,l,0423bka,67.36422521
17,W-L,w,l,0428bka,97.69159741
17,W-L,w,l,0430bka,0
17,W-L,w,l,0504bka,61.52796726
17,W-L,w,l,0511bka,84.85267945
17,W-L,w,l,0525bka,80.14461599
18,G-C,g,c,0423bka,0
18,G-C,g,c,0428bka,97.2299169
18,G-C,g,c,0430bka,68.84445478
18,G-C,g,c,0504bka,58.93587995
18,G-C,g,c,0511bka,80.62092149
18,G-C,g,c,0525bka,1.856556576
19,W-C,w,c,0423bka,72.89486796
19,W-C,w,c,0428bka,100
19,W-C,w,c,0430bka,66.51941409
19,W-C,w,c,0504bka,0
19,W-C,w,c,0511bka,77.29879375
19,W-C,w,c,0525bka,81.19992183
20,W-C,w,c,0423bka,72.64573991
20,W-C,w,c,0428bka,83.24099723
20,W-C,w,c,0430bka,68.70495234
20,W-C,w,c,0504bka,65.93906321
20,W-C,w,c,0511bka,83.38936128
20,W-C,w,c,0525bka,75.84522181
21,W-L,w,l,0423bka,63.82660688
21,W-L,w,l,0428bka,100
21,W-L,w,l,0430bka,69.44896536
21,W-L,w,l,0504bka,58.84492951
21,W-L,w,l,0511bka,77.85248171
21,W-L,w,l,0525bka,77.48680868
22,G-L,g,l,0423bka,73.29347285
22,G-L,g,l,0428bka,100
22,G-L,g,l,0430bka,65.17089049
22,G-L,g,l,0504bka,0
22,G-L,g,l,0511bka,77.89203085
22,G-L,g,l,0525bka,67.44186047
23,G-C,g,c,0423bka,2.69058296
23,G-C,g,c,0428bka,46.26038781
23,G-C,g,c,0430bka,6.347361079
23,G-C,g,c,0504bka,0
23,G-C,g,c,0511bka,0
23,G-C,g,c,0525bka,1.153019347
24,G-L,g,l,0423bka,36.17339312
24,G-L,g,l,0428bka,100
24,G-L,g,l,0430bka,68.00744013
24,G-L,g,l,0504bka,51.65984538
24,G-L,g,l,0511bka,78.72256278
24,G-L,g,l,0525bka,55.44264217
25,G-C,g,c,0423bka,62.68061784
25,G-C,g,c,0428bka,100
25,G-C,g,c,0430bka,74.42455243
25,G-C,g,c,0504bka,0
25,G-C,g,c,0511bka,43.64247578
25,G-C,g,c,0525bka,69.08344733
26,W-L,w,l,0423bka,0
26,W-L,w,l,0428bka,100
26,W-L,w,l,0430bka,68.79795396
26,W-L,w,l,0504bka,63.21055025
26,W-L,w,l,0511bka,5.912596401
26,W-L,w,l,0525bka,59.62478014
27,W-C,w,c,0423bka,55.15695067
27,W-C,w,c,0428bka,100
27,W-C,w,c,0430bka,72.61102069
27,W-C,w,c,0504bka,63.16507503
27,W-C,w,c,0511bka,69.86355547
27,W-C,w,c,0525bka,0
28,G-L,g,l,0423bka,8.1714001
28,G-L,g,l,0428bka,100
28,G-L,g,l,0430bka,64.89188561
28,G-L,g,l,0504bka,61.52796726
28,G-L,g,l,0511bka,0
28,G-L,g,l,0525bka,68.3408247
29,G-L,g,l,0423bka,54.06078724
29,G-L,g,l,0428bka,100
29,G-L,g,l,0430bka,70.70448733
29,G-L,g,l,0504bka,0
29,G-L,g,l,0511bka,70.41724342
29,G-L,g,l,0525bka,0
30,W-C,w,c,0423bka,0
30,W-C,w,c,0428bka,100
