iguanaID,tx,diet,lps,time,bka
1,G-C,g,c,0525bka,78.36662053
1,G-C,g,c,0528bka,80.14461599
1,G-C,g,c,0530bka,78.71581451
1,G-C,g,c,0603bka,10.01110582
1,G-C,g,c,0610bka,0
1,G-C,g,c,0624bka,7.362347924
2,W-L,w,l,0525bka,77.85248171
2,W-L,w,l,0528bka,78.50302912
2,W-L,w,l,0530bka,82.0451843
2,W-L,w,l,0603bka,83.9758845
2,W-L,w,l,0610bka,56.84594637
2,W-L,w,l,0624bka,86.9058071
3,G-C,g,c,0525bka,55.90270912
3,G-C,g,c,0528bka,0
3,G-C,g,c,0530bka,69.83749505
3,G-C,g,c,0603bka,0
3,G-C,g,c,0610bka,0
3,G-C,g,c,0624bka,93.85425812
4,G-L,g,l,0525bka,51.19636148
4,G-L,g,l,0528bka,81.51260504
4,G-L,g,l,0530bka,85.45382481
4,G-L,g,l,0603bka,77.66143106
4,G-L,g,l,0610bka,63.82674917
4,G-L,g,l,0624bka,73.08415904
5,W-L,w,l,0525bka,78.72256278
5,W-L,w,l,0528bka,80.3791284
5,W-L,w,l,0530bka,69.83749505
5,W-L,w,l,0603bka,0
5,W-L,w,l,0610bka,78.74028241
5,W-L,w,l,0624bka,82.46582215
6,W-C,w,c,0525bka,80.0276844
6,W-C,w,c,0528bka,90.3459058
6,W-C,w,c,0530bka,73.00832342
6,W-C,w,c,0603bka,87.81532604
6,W-C,w,c,0610bka,0
6,W-C,w,c,0624bka,90.86918349
7,G-C,g,c,0525bka,82.7170259
7,G-C,g,c,0528bka,78.26851671
7,G-C,g,c,0530bka,87.35632184
7,G-C,g,c,0603bka,83.15088053
7,G-C,g,c,0610bka,9.439949231
7,G-C,g,c,0624bka,93.65358084
8,G-L,g,l,0525bka,0
8,G-L,g,l,0528bka,82.17705687
8,G-L,g,l,0530bka,67.7764566
8,G-L,g,l,0603bka,84.07107726
8,G-L,g,l,0610bka,0
8,G-L,g,l,0624bka,79.12956227
9,W-C,w,c,0525bka,78.8412102
9,W-C,w,c,0528bka,73.73461012
9,W-C,w,c,0530bka,84.34403488
9,W-C,w,c,0603bka,68.74504204
9,W-C,w,c,0610bka,0
9,W-C,w,c,0624bka,85.35055813
10,W-L,w,l,0525bka,0
10,W-L,w,l,0528bka,77.72132109
10,W-L,w,l,0530bka,74.75227903
10,W-L,w,l,0603bka,79.78740282
10,W-L,w,l,0610bka,85.77699737
10,W-L,w,l,0624bka,86.83055312
11,G-C,g,c,0525bka,82.64608169
11,G-C,g,c,0528bka,78.1512605
11,G-C,g,c,0530bka,84.97820055
11,G-C,g,c,0603bka,0
11,G-C,g,c,0610bka,12.12843346
11,G-C,g,c,0624bka,92.95121033
12,W-L,w,l,0525bka,30.27164354
12,W-L,w,l,0528bka,82.72425249
12,W-L,w,l,0530bka,68.56916369
12,W-L,w,l,0603bka,49.00840869
12,W-L,w,l,0610bka,33.80158033
12,W-L,w,l,0624bka,92.14850119
13,G-C,g,c,0525bka,0
13,G-C,g,c,0528bka,0
13,G-C,g,c,0530bka,87.35632184
13,G-C,g,c,0603bka,0
13,G-C,g,c,0610bka,92.92612567
13,G-C,g,c,0624bka,90.71867553
14,G-L,g,l,0525bka,85.18663279
14,G-L,g,l,0528bka,81.98162986
14,G-L,g,l,0530bka,40.82441538
14,G-L,g,l,0603bka,82.35760749
14,G-L,g,l,0610bka,80.86040386
14,G-L,g,l,0624bka,10.8240311
15,G-C,g,c,0525bka,0
15,G-C,g,c,0528bka,80.4963846
15,G-C,g,c,0530bka,87.4752279
15,G-C,g,c,0603bka,84.19800095
15,G-C,g,c,0610bka,88.46105606
15,G-C,g,c,0624bka,90.61833689
16,W-C,w,c,0525bka,84.60035177
16,W-C,w,c,0528bka,0
16,W-C,w,c,0530bka,81.88664289
16,W-C,w,c,0603bka,47.51705537
16,W-C,w,c,0610bka,92.17358585
16,W-C,w,c,0624bka,39.445629
17,W-L,w,l,0525bka,80.14461599
17,W-L,w,l,0528bka,77.79949189
17,W-L,w,l,0530bka,69.67895363
17,W-L,w,l,0603bka,86.51435824
17,W-L,w,l,0610bka,90.09155901
17,W-L,w,l,0624bka,88.28546344
18,G-C,g,c,0525bka,1.856556576
18,G-C,g,c,0528bka,0
18,G-C,g,c,0530bka,81.45065398
18,G-C,g,c,0603bka,76.29700143
18,G-C,g,c,0610bka,91.27053807
18,G-C,g,c,0624bka,77.77499059
19,W-C,w,c,0525bka,81.19992183
19,W-C,w,c,0528bka,66.94411415
19,W-C,w,c,0530bka,0
19,W-C,w,c,0603bka,83.72203713
19,W-C,w,c,0610bka,87.68343158
19,W-C,w,c,0624bka,87.34872115
20,W-C,w,c,0525bka,75.84522181
20,W-C,w,c,0528bka,74.15774871
20,W-C,w,c,0530bka,83.7098692
20,W-C,w,c,0603bka,1.538949706
20,W-C,w,c,0610bka,92.65019441
20,W-C,w,c,0624bka,79.18902059
21,W-L,w,l,0525bka,77.48680868
21,W-L,w,l,0528bka,80.65794689
21,W-L,w,l,0530bka,81.49028934
21,W-L,w,l,0603bka,82.32587657
21,W-L,w,l,0610bka,92.47460178
21,W-L,w,l,0624bka,87.49844042
22,G-L,g,l,0525bka,67.44186047
22,G-L,g,l,0528bka,79.86523979
22,G-L,g,l,0530bka,77.52675386
22,G-L,g,l,0603bka,79.85086467
22,G-L,g,l,0610bka,82.71666876
22,G-L,g,l,0624bka,84.60386775
23,G-C,g,c,0525bka,1.153019347
23,G-C,g,c,0528bka,3.68608799
23,G-C,g,c,0530bka,7.173999207
23,G-C,g,c,0603bka,0
23,G-C,g,c,0610bka,36.8869936
23,G-C,g,c,0624bka,11.7654398
24,G-L,g,l,0525bka,55.44264217
24,G-L,g,l,0528bka,4.003170828
24,G-L,g,l,0530bka,52.08086
24,G-L,g,l,0603bka,39.26701571
24,G-L,g,l,0610bka,20.13044024
24,G-L,g,l,0624bka,10.16843419
25,G-C,g,c,0525bka,69.08344733
25,G-C,g,c,0528bka,82.16409037
25,G-C,g,c,0530bka,0
25,G-C,g,c,0603bka,70.71235919
25,G-C,g,c,0610bka,13.30741252
25,G-C,g,c,0624bka,11.49095446
26,W-L,w,l,0525bka,59.62478014
26,W-L,w,l,0528bka,66.82520809
26,W-L,w,l,0530bka,69.4411415
26,W-L,w,l,0603bka,68.49119467
26,W-L,w,l,0610bka,36.33513107
26,W-L,w,l,0624bka,90.06862133
27,W-C,w,c,0525bka,0
27,W-C,w,c,0528bka,87.51486326
27,W-C,w,c,0530bka,88.46611177
27,W-C,w,c,0603bka,84.2614628
27,W-C,w,c,0610bka,93.20205694
27,W-C,w,c,0624bka,88.12227074
28,G-L,g,l,0525bka,68.3408247
28,G-L,g,l,0528bka,84.30439952
28,G-L,g,l,0530bka,69.98661824
28,G-L,g,l,0603bka,0
28,G-L,g,l,0610bka,13.2572432
28,G-L,g,l,0624bka,11.34123518
29,G-L,g,l,0525bka,0
29,G-L,g,l,0528bka,86.12762584
29,G-L,g,l,0530bka,2.504301281
