iguanaID,diet,time,tx,glucose,mass,bka,agg,lysis,totri,trutri,gly,drom,oxy,osi,cort
1,g,d0,g0,180,57,91.56592634,2,2.666666667,1.419491525,1.329412706,0.189975748,1.019987628,-1.126373886,2.146361514,44.602
2,w,d0,w0,225,59,81.75428732,2,4.333333333,1.25,1.151784285,0.212206952,0.109801497,-1.40240833,1.512209827,35.597
3,g,d0,g0,311,44,90.46949677,0,0,,,,-1.963107959,-1.126373886,-0.836734074,35.825
4,g,d0,g0,194,67,88.58588698,3,2.333333333,0.463983051,0.654504721,0,3.192859723,-0.919348052,4.112207775,36.13
5,w,d0,w0,344,39,86.61793646,3,4.333333333,1.773305085,1.804288686,0.012126112,-0.12169093,-1.609434163,1.487743233,61.947
6,w,d0,w0,276,56,92.88726455,0.666666667,0.666666667,1.175847458,1.188990238,0.076798707,-0.132213313,-0.022236108,-0.109977205,61.013
7,g,d0,g0,239,78,88.24852404,1.333333333,2,1.908898305,1.554648744,0.4890865,0.204502944,-0.16025333,0.364756274,46.069
8,g,d0,g0,145,56,92.66235592,4,4,1.277542373,1.405024804,0,-0.058556632,0.046772503,-0.105329135,8.024
9,w,d0,w0,303,50,90.58195108,,,,,,0.799017585,-0.78133083,1.580348415,49.123
10,w,d0,w0,256,48,5.088557773,,,,,,1.814427547,-0.988356663,2.80278421,
11,g,d0,g0,161,56,84.11582794,3,3.333333333,2.093220339,2.037526004,0.099029911,-0.368966931,-0.367279164,-0.001687767,92.84
12,w,d0,w0,190,46,89.28872645,2,2,1.582627119,1.619459113,0.018189167,-0.179564037,-0.574304997,0.39474096,40.32
13,g,d0,g0,226,47,92.94349171,1,1.666666667,1.665254237,1.750280045,0,-0.621504124,-1.747451385,1.125947262,33.836
14,g,d0,g0,239,55,88.95136351,5,6,1.271186441,1.354216675,0,0.567525158,0.046772503,0.520752655,31.407
15,g,d0,g0,312,71,90.58195108,1,1,0.688559322,0.869739158,0,-0.46892957,0.874875836,-1.343805406,32.581
16,w,d0,w0,221,68,90.21647456,2,4,1.014830508,1.177788446,0,-0.547847442,0.391815559,-0.939663001,58.75
17,w,d0,w0,301,58,93.78689907,0,0,0.701271186,0.814530325,0,1.982785675,-0.367279164,2.350064839,35.308
18,g,d0,g0,179,42,87.34888951,1,0.666666667,2.218220339,1.910705713,0.408245756,-0.863518933,-0.505296386,-0.358222547,45.41
19,w,d0,w0,230,52,89.28872645,3,3,2.417372881,2.455592895,0,-0.731989145,-0.091244719,-0.640744426,31.34
20,w,d0,w0,259,43,1.23699747,0,0.333333333,2.389830508,2.167146743,0.289005659,0.898980224,-0.16025333,1.059233554,35.135
21,w,d0,w0,310,91,89.48552151,0,0.666666667,0.902542373,1.076572252,0,0.272898434,0.253798336,0.019100097,72.258
22,g,d0,g0,213,37,89.85099803,1,2,1.548728814,1.558649384,0.054567502,0.904241415,1.564961947,-0.660720532,48.185
23,g,d0,g0,235,58,9.783525443,3,3,2.021186441,2.118338934,0,-0.689899613,1.426944725,-2.116844338,75
24,g,d0,g0,111,53,91.20044982,2,2,0.724576271,0.930948952,0,-0.526802676,1.702979169,-2.229781846,37.742
25,g,d0,g0,208,48,96.17655328,2,2.333333333,2.794491525,2.491598656,0.361762328,1.614502269,1.08190167,0.5326006,36.909
26,w,d0,w0,293,54,90.97554119,1.666666667,2.333333333,1.061440678,1.109777564,0.040420372,-0.237437143,1.357936114,-1.595373257,160.329
27,w,d0,w0,335,54,92.12819792,0,0.666666667,0.669491525,0.838934229,0,-1.016093487,1.633970558,-2.650064045,57.083
28,g,d0,g0,224,69,90.07590666,3,2.666666667,0.781779661,0.906545047,0,-0.432101229,1.495953336,-1.928054565,46.423
29,g,d0,g0,220,47,64.38009559,2,2.666666667,1.745762712,1.840694511,0,-0.584675783,1.77198778,-2.356663564,35.081
30,w,d0,w0,221,32,92.24065224,0,0,2.033898305,2.11593855,0,-0.426840038,-0.760628247,0.333788209,55.132
31,g,d0,g0,241,46,91.39724487,5,6.333333333,1.228813559,1.344615138,0,-0.74777272,-0.519098108,-0.228674612,31.661
32,w,d0,w0,225,37,93.05594602,1,1.666666667,1.697033898,1.826692271,0,-0.900347274,-0.422486052,-0.477861221,46.423
33,w,d0,w0,267,43,16.95248805,0.666666667,2,1.177966102,1.351016163,0,-0.290049058,-0.519098108,0.22904905,35.439
34,w,d0,w0,208,76,90.35704245,1,1.666666667,0.830508475,1.029364698,0,-0.090123781,-0.03603783,-0.054085951,60.107
35,w,d0,w0,193,54,91.00365477,2,2.666666667,2.355932203,2.459993599,0,-0.742511528,-0.277567969,-0.464943559,21.904
