iguanaID,tx,diet,lps,time,glu
1,G-C,g,c,0324glu,180
1,G-C,g,c,0423glu,333
1,G-C,g,c,0428glu,234
1,G-C,g,c,0430glu,291
1,G-C,g,c,0525glu,292
1,G-C,g,c,0528glu,255
1,G-C,g,c,0530glu,35
1,G-C,g,c,0624glu,193
1,G-C,g,c,0628glu,229
2,W-L,w,l,0324glu,225
2,W-L,w,l,0423glu,353
2,W-L,w,l,0428glu,351
2,W-L,w,l,0430glu,312
2,W-L,w,l,0525glu,279
2,W-L,w,l,0528glu,324
2,W-L,w,l,0530glu,272
2,W-L,w,l,0624glu,282
2,W-L,w,l,0628glu,281
3,G-C,g,c,0324glu,311
3,G-C,g,c,0423glu,379
3,G-C,g,c,0428glu,330
3,G-C,g,c,0430glu,270
3,G-C,g,c,0525glu,332
3,G-C,g,c,0528glu,379
3,G-C,g,c,0530glu,382
3,G-C,g,c,0624glu,274
3,G-C,g,c,0628glu,308
4,G-L,g,l,0324glu,194
4,G-L,g,l,0423glu,443
4,G-L,g,l,0428glu,233
4,G-L,g,l,0430glu,266
4,G-L,g,l,0525glu,340
4,G-L,g,l,0528glu,289
4,G-L,g,l,0530glu,289
4,G-L,g,l,0624glu,335
4,G-L,g,l,0628glu,319
5,W-L,w,l,0324glu,344
5,W-L,w,l,0423glu,352
5,W-L,w,l,0428glu,306
5,W-L,w,l,0430glu,263
5,W-L,w,l,0525glu,320
5,W-L,w,l,0528glu,303
5,W-L,w,l,0530glu,320
5,W-L,w,l,0624glu,493
5,W-L,w,l,0628glu,192
6,W-C,w,c,0324glu,276
6,W-C,w,c,0423glu,391
6,W-C,w,c,0428glu,252
6,W-C,w,c,0430glu,244
6,W-C,w,c,0525glu,347
6,W-C,w,c,0528glu,373
6,W-C,w,c,0530glu,319
6,W-C,w,c,0624glu,329
6,W-C,w,c,0628glu,264
7,G-C,g,c,0324glu,239
7,G-C,g,c,0423glu,311
7,G-C,g,c,0428glu,534
7,G-C,g,c,0430glu,224
7,G-C,g,c,0525glu,321
7,G-C,g,c,0528glu,364
7,G-C,g,c,0530glu,333
7,G-C,g,c,0624glu,342
7,G-C,g,c,0628glu,278
8,G-L,g,l,0324glu,145
8,G-L,g,l,0423glu,404
8,G-L,g,l,0428glu,365
8,G-L,g,l,0430glu,217
8,G-L,g,l,0525glu,342
8,G-L,g,l,0528glu,303
8,G-L,g,l,0530glu,284
8,G-L,g,l,0624glu,340
8,G-L,g,l,0628glu,374
9,W-C,w,c,0324glu,303
9,W-C,w,c,0423glu,196
9,W-C,w,c,0428glu,211
9,W-C,w,c,0430glu,259
9,W-C,w,c,0525glu,298
9,W-C,w,c,0528glu,444
9,W-C,w,c,0530glu,417
9,W-C,w,c,0624glu,319
9,W-C,w,c,0628glu,261
10,W-L,w,l,0324glu,256
10,W-L,w,l,0423glu,298
10,W-L,w,l,0428glu,258
10,W-L,w,l,0430glu,219
10,W-L,w,l,0525glu,255
10,W-L,w,l,0528glu,278
10,W-L,w,l,0530glu,318
10,W-L,w,l,0624glu,312
10,W-L,w,l,0628glu,352
11,G-C,g,c,0324glu,161
11,G-C,g,c,0423glu,242
11,G-C,g,c,0428glu,283
11,G-C,g,c,0430glu,390
11,G-C,g,c,0525glu,188
11,G-C,g,c,0528glu,382
11,G-C,g,c,0530glu,323
11,G-C,g,c,0624glu,357
11,G-C,g,c,0628glu,349
12,W-L,w,l,0324glu,190
12,W-L,w,l,0423glu,214
12,W-L,w,l,0428glu,217
12,W-L,w,l,0430glu,303
12,W-L,w,l,0525glu,286
12,W-L,w,l,0528glu,321
12,W-L,w,l,0530glu,334
12,W-L,w,l,0624glu,324
12,W-L,w,l,0628glu,289
13,G-C,g,c,0324glu,226
13,G-C,g,c,0423glu,244
13,G-C,g,c,0428glu,264
13,G-C,g,c,0430glu,240
13,G-C,g,c,0525glu,221
13,G-C,g,c,0528glu,263
13,G-C,g,c,0530glu,347
13,G-C,g,c,0624glu,256
13,G-C,g,c,0628glu,302
14,G-L,g,l,0324glu,239
14,G-L,g,l,0423glu,600
14,G-L,g,l,0428glu,343
14,G-L,g,l,0430glu,309
14,G-L,g,l,0525glu,268
14,G-L,g,l,0528glu,280
14,G-L,g,l,0530glu,471
14,G-L,g,l,0624glu,466
14,G-L,g,l,0628glu,384
15,G-C,g,c,0324glu,312
15,G-C,g,c,0423glu,356
15,G-C,g,c,0428glu,289
15,G-C,g,c,0430glu,323
15,G-C,g,c,0525glu,344
15,G-C,g,c,0528glu,308
15,G-C,g,c,0530glu,341
15,G-C,g,c,0624glu,303
15,G-C,g,c,0628glu,266
16,W-C,w,c,0324glu,221
16,W-C,w,c,0423glu,337
16,W-C,w,c,0428glu,318
16,W-C,w,c,0430glu,254
16,W-C,w,c,0525glu,260
16,W-C,w,c,0528glu,304
16,W-C,w,c,0530glu,314
16,W-C,w,c,0624glu,323
16,W-C,w,c,0628glu,314
17,W-L,w,l,0324glu,301
17,W-L,w,l,0423glu,272
17,W-L,w,l,0428glu,325
17,W-L,w,l,0430glu,258
17,W-L,w,l,0525glu,242
17,W-L,w,l,0528glu,304
17,W-L,w,l,0530glu,236
17,W-L,w,l,0624glu,252
17,W-L,w,l,0628glu,291
18,G-C,g,c,0324glu,179
18,G-C,g,c,0423glu,351
18,G-C,g,c,0428glu,301
18,G-C,g,c,0430glu,310
18,G-C,g,c,0525glu,423
18,G-C,g,c,0528glu,343
18,G-C,g,c,0530glu,322
18,G-C,g,c,0624glu,328
18,G-C,g,c,0628glu,434
19,W-C,w,c,0324glu,230
19,W-C,w,c,0423glu,281
19,W-C,w,c,0428glu,142
19,W-C,w,c,0430glu,288
19,W-C,w,c,0525glu,285
19,W-C,w,c,0528glu,299
19,W-C,w,c,0530glu,271
19,W-C,w,c,0624glu,239
19,W-C,w,c,0628glu,241
20,W-C,w,c,0324glu,259
20,W-C,w,c,0423glu,331
20,W-C,w,c,0428glu,298
20,W-C,w,c,0430glu,256
20,W-C,w,c,0525glu,336
20,W-C,w,c,0528glu,254
20,W-C,w,c,0530glu,363
20,W-C,w,c,0624glu,395
20,W-C,w,c,0628glu,389
21,W-L,w,l,0324glu,310
21,W-L,w,l,0423glu,440
21,W-L,w,l,0428glu,208
21,W-L,w,l,0430glu,308
21,W-L,w,l,0525glu,266
21,W-L,w,l,0528glu,294
21,W-L,w,l,0530glu,291
21,W-L,w,l,0624glu,351
21,W-L,w,l,0628glu,282
22,G-L,g,l,0324glu,213
22,G-L,g,l,0423glu,447
22,G-L,g,l,0428glu,600
22,G-L,g,l,0430glu,294
22,G-L,g,l,0525glu,295
22,G-L,g,l,0528glu,284
22,G-L,g,l,0530glu,406
22,G-L,g,l,0624glu,346
22,G-L,g,l,0628glu,329
23,G-C,g,c,0324glu,235
23,G-C,g,c,0423glu,330
23,G-C,g,c,0428glu,273
23,G-C,g,c,0430glu,246
23,G-C,g,c,0525glu,389
23,G-C,g,c,0528glu,326
23,G-C,g,c,0530glu,337
23,G-C,g,c,0624glu,375
23,G-C,g,c,0628glu,372
24,G-L,g,l,0324glu,111
24,G-L,g,l,0423glu,282
24,G-L,g,l,0428glu,229
24,G-L,g,l,0430glu,232
24,G-L,g,l,0525glu,230
24,G-L,g,l,0528glu,284
24,G-L,g,l,0530glu,325
24,G-L,g,l,0624glu,263
24,G-L,g,l,0628glu,245
25,G-C,g,c,0324glu,208
25,G-C,g,c,0423glu,379
25,G-C,g,c,0428glu,271
25,G-C,g,c,0430glu,211
25,G-C,g,c,0525glu,261
25,G-C,g,c,0528glu,260
25,G-C,g,c,0530glu,223
25,G-C,g,c,0624glu,220
25,G-C,g,c,0628glu,273
26,W-L,w,l,0324glu,293
26,W-L,w,l,0423glu,205
26,W-L,w,l,0428glu,276
26,W-L,w,l,0430glu,288
26,W-L,w,l,0525glu,384
26,W-L,w,l,0528glu,319
26,W-L,w,l,0530glu,380
26,W-L,w,l,0624glu,366
26,W-L,w,l,0628glu,377
27,W-C,w,c,0324glu,335
27,W-C,w,c,0423glu,360
27,W-C,w,c,0428glu,243
27,W-C,w,c,0430glu,323
27,W-C,w,c,0525glu,369
27,W-C,w,c,0528glu,319
27,W-C,w,c,0530glu,318
27,W-C,w,c,0624glu,360
27,W-C,w,c,0628glu,264
28,G-L,g,l,0324glu,224
28,G-L,g,l,0423glu,301
28,G-L,g,l,0428glu,363
28,G-L,g,l,0430glu,222
28,G-L,g,l,0525glu,232
28,G-L,g,l,0528glu,251
28,G-L,g,l,0530glu,286
28,G-L,g,l,0624glu,244
28,G-L,g,l,0628glu,352
29,G-L,g,l,0324glu,220
