iguanaID,tx,diet,lps,time,lys
1,G-C,g,c,0324lys,2.666666667
1,G-C,g,c,0423lys,3
1,G-C,g,c,0428lys,0
1,G-C,g,c,0430lys,0.666666667
1,G-C,g,c,0504lys,0
1,G-C,g,c,0511lys,2
1,G-C,g,c,0525lys,1
1,G-C,g,c,0528lys,1.333333333
1,G-C,g,c,0530lys,1.333333333
1,G-C,g,c,0603lys,2.666666667
1,G-C,g,c,0610lys,0
2,W-L,w,l,0324lys,4.333333333
2,W-L,w,l,0423lys,3.333333333
2,W-L,w,l,0428lys,1.666666667
2,W-L,w,l,0430lys,0.666666667
2,W-L,w,l,0504lys,1
2,W-L,w,l,0511lys,1.333333333
2,W-L,w,l,0525lys,1
2,W-L,w,l,0528lys,3.333333333
2,W-L,w,l,0530lys,4
2,W-L,w,l,0603lys,1
2,W-L,w,l,0610lys,1.333333333
2,W-L,w,l,0624lys,1.333333333
2,W-L,w,l,0628lys,2.666666667
3,G-C,g,c,0324lys,0
3,G-C,g,c,0423lys,0
3,G-C,g,c,0428lys,0
3,G-C,g,c,0430lys,0.333333333
3,G-C,g,c,0511lys,0
3,G-C,g,c,0525lys,1
3,G-C,g,c,0528lys,1
3,G-C,g,c,0530lys,0
3,G-C,g,c,0603lys,0.666666667
3,G-C,g,c,0610lys,0
3,G-C,g,c,0624lys,0.333333333
3,G-C,g,c,0628lys,0.666666667
4,G-L,g,l,0324lys,2.333333333
4,G-L,g,l,0423lys,2.666666667
4,G-L,g,l,0428lys,1
4,G-L,g,l,0430lys,2
4,G-L,g,l,0504lys,2.333333333
4,G-L,g,l,0511lys,1
4,G-L,g,l,0525lys,3
4,G-L,g,l,0528lys,2.666666667
4,G-L,g,l,0530lys,0.666666667
4,G-L,g,l,0603lys,1
4,G-L,g,l,0610lys,1.333333333
4,G-L,g,l,0624lys,1
4,G-L,g,l,0628lys,1.666666667
5,W-L,w,l,0324lys,4.333333333
5,W-L,w,l,0423lys,2.666666667
5,W-L,w,l,0428lys,1.666666667
5,W-L,w,l,0430lys,2.333333333
5,W-L,w,l,0504lys,1.666666667
5,W-L,w,l,0511lys,0.666666667
5,W-L,w,l,0525lys,1.333333333
5,W-L,w,l,0528lys,1.333333333
5,W-L,w,l,0530lys,2.333333333
5,W-L,w,l,0610lys,1.666666667
5,W-L,w,l,0624lys,0.666666667
5,W-L,w,l,0628lys,0.666666667
6,W-C,w,c,0324lys,0.666666667
6,W-C,w,c,0423lys,1.666666667
6,W-C,w,c,0428lys,0.666666667
6,W-C,w,c,0504lys,0
6,W-C,w,c,0511lys,0.333333333
6,W-C,w,c,0525lys,0.333333333
6,W-C,w,c,0528lys,1.666666667
6,W-C,w,c,0530lys,0.333333333
6,W-C,w,c,0603lys,0.333333333
6,W-C,w,c,0610lys,0.333333333
6,W-C,w,c,0624lys,0
6,W-C,w,c,0628lys,0.333333333
7,G-C,g,c,0324lys,2
7,G-C,g,c,0423lys,3.333333333
7,G-C,g,c,0428lys,1
7,G-C,g,c,0430lys,0.333333333
7,G-C,g,c,0504lys,0.666666667
7,G-C,g,c,0511lys,1.333333333
7,G-C,g,c,0525lys,2.333333333
7,G-C,g,c,0528lys,2.333333333
7,G-C,g,c,0530lys,2.666666667
7,G-C,g,c,0603lys,2
7,G-C,g,c,0610lys,1
7,G-C,g,c,0624lys,0.666666667
8,G-L,g,l,0324lys,4
8,G-L,g,l,0423lys,3.333333333
8,G-L,g,l,0428lys,1.333333333
8,G-L,g,l,0430lys,0
8,G-L,g,l,0504lys,0
8,G-L,g,l,0511lys,1
8,G-L,g,l,0525lys,0
8,G-L,g,l,0528lys,4
8,G-L,g,l,0530lys,2.333333333
8,G-L,g,l,0603lys,1
8,G-L,g,l,0610lys,3
8,G-L,g,l,0624lys,0.333333333
8,G-L,g,l,0628lys,1.666666667
9,W-C,w,c,0423lys,2.666666667
9,W-C,w,c,0430lys,0.666666667
9,W-C,w,c,0504lys,0.666666667
9,W-C,w,c,0511lys,0.666666667
9,W-C,w,c,0525lys,0.666666667
9,W-C,w,c,0528lys,0.333333333
9,W-C,w,c,0530lys,3.333333333
9,W-C,w,c,0603lys,0
9,W-C,w,c,0624lys,0
9,W-C,w,c,0628lys,0
10,W-L,w,l,0423lys,1.333333333
10,W-L,w,l,0428lys,0.666666667
10,W-L,w,l,0430lys,1.666666667
10,W-L,w,l,0528lys,2.333333333
10,W-L,w,l,0530lys,3.666666667
10,W-L,w,l,0603lys,0.333333333
10,W-L,w,l,0610lys,1.333333333
10,W-L,w,l,0624lys,2
10,W-L,w,l,0628lys,2.666666667
11,G-C,g,c,0324lys,3.333333333
11,G-C,g,c,0423lys,1.333333333
11,G-C,g,c,0428lys,0.333333333
11,G-C,g,c,0430lys,0.333333333
11,G-C,g,c,0511lys,0.333333333
11,G-C,g,c,0525lys,0.333333333
11,G-C,g,c,0528lys,2.666666667
11,G-C,g,c,0530lys,0.333333333
11,G-C,g,c,0603lys,0
11,G-C,g,c,0610lys,4
11,G-C,g,c,0624lys,1.333333333
11,G-C,g,c,0628lys,0
12,W-L,w,l,0324lys,2
12,W-L,w,l,0428lys,1.333333333
12,W-L,w,l,0430lys,0.333333333
12,W-L,w,l,0511lys,2
12,W-L,w,l,0528lys,1.666666667
12,W-L,w,l,0530lys,4.666666667
12,W-L,w,l,0603lys,0
12,W-L,w,l,0610lys,1
12,W-L,w,l,0624lys,1.333333333
12,W-L,w,l,0628lys,0.666666667
13,G-C,g,c,0324lys,1.666666667
13,G-C,g,c,0423lys,2.666666667
13,G-C,g,c,0428lys,0.666666667
13,G-C,g,c,0430lys,0.666666667
13,G-C,g,c,0504lys,0.333333333
13,G-C,g,c,0511lys,1
13,G-C,g,c,0525lys,0
13,G-C,g,c,0528lys,1.333333333
13,G-C,g,c,0530lys,1
13,G-C,g,c,0603lys,0.666666667
13,G-C,g,c,0610lys,1
13,G-C,g,c,0624lys,3
13,G-C,g,c,0628lys,1.333333333
14,G-L,g,l,0324lys,6
14,G-L,g,l,0423lys,6.666666667
14,G-L,g,l,0428lys,4.666666667
14,G-L,g,l,0430lys,3.666666667
14,G-L,g,l,0504lys,2.666666667
14,G-L,g,l,0511lys,2.333333333
14,G-L,g,l,0525lys,8
14,G-L,g,l,0528lys,8
14,G-L,g,l,0530lys,2
14,G-L,g,l,0603lys,3
14,G-L,g,l,0610lys,4.333333333
14,G-L,g,l,0628lys,3
15,G-C,g,c,0324lys,1
15,G-C,g,c,0423lys,4
15,G-C,g,c,0428lys,3
15,G-C,g,c,0430lys,1.333333333
15,G-C,g,c,0511lys,0.333333333
15,G-C,g,c,0525lys,0.333333333
15,G-C,g,c,0528lys,0.333333333
15,G-C,g,c,0530lys,0.333333333
15,G-C,g,c,0603lys,1.666666667
15,G-C,g,c,0610lys,0.333333333
15,G-C,g,c,0624lys,1
15,G-C,g,c,0628lys,0.666666667
16,W-C,w,c,0324lys,4
16,W-C,w,c,0423lys,2
16,W-C,w,c,0428lys,3.333333333
16,W-C,w,c,0430lys,1.333333333
16,W-C,w,c,0504lys,2
16,W-C,w,c,0511lys,0.666666667
16,W-C,w,c,0525lys,0.333333333
16,W-C,w,c,0528lys,4
16,W-C,w,c,0530lys,2
16,W-C,w,c,0603lys,0
16,W-C,w,c,0610lys,2
16,W-C,w,c,0624lys,0.666666667
16,W-C,w,c,0628lys,2.666666667
17,W-L,w,l,0324lys,0
17,W-L,w,l,0423lys,1.333333333
17,W-L,w,l,0428lys,1.666666667
17,W-L,w,l,0430lys,0
17,W-L,w,l,0504lys,1
17,W-L,w,l,0511lys,0.333333333
17,W-L,w,l,0525lys,1.666666667
17,W-L,w,l,0528lys,0.666666667
17,W-L,w,l,0530lys,1.333333333
17,W-L,w,l,0603lys,0.666666667
17,W-L,w,l,0610lys,0.333333333
17,W-L,w,l,0624lys,3
18,G-C,g,c,0324lys,0.666666667
18,G-C,g,c,0428lys,0
18,G-C,g,c,0430lys,1
18,G-C,g,c,0504lys,0
18,G-C,g,c,0511lys,0.333333333
18,G-C,g,c,0525lys,0.333333333
18,G-C,g,c,0528lys,1.666666667
18,G-C,g,c,0530lys,1.333333333
18,G-C,g,c,0603lys,1.333333333
18,G-C,g,c,0610lys,1.333333333
18,G-C,g,c,0624lys,0.333333333
19,W-C,w,c,0324lys,3
19,W-C,w,c,0423lys,1
19,W-C,w,c,0428lys,0.666666667
19,W-C,w,c,0430lys,0
