iguanaID,spot,tx,diet,lps,time,mass
1,R1-L1,G-C,g,c,0324mass,57
1,R1-L1,G-C,g,c,0423mass,69
1,R1-L1,G-C,g,c,0428mass,79
1,R1-L1,G-C,g,c,0430mass,77
1,R1-L1,G-C,g,c,0504mass,74
1,R1-L1,G-C,g,c,0511mass,81
1,R1-L1,G-C,g,c,0518mass,85
1,R1-L1,G-C,g,c,0525mass,93
1,R1-L1,G-C,g,c,0528mass,91
1,R1-L1,G-C,g,c,0530mass,89
1,R1-L1,G-C,g,c,0603mass,100
1,R1-L1,G-C,g,c,0610mass,100
1,R1-L1,G-C,g,c,0617mass,112
1,R1-L1,G-C,g,c,0624mass,122
1,R1-L1,G-C,g,c,0628mass,115
2,R1-L2,W-L,w,l,0324mass,59
2,R1-L2,W-L,w,l,0423mass,61
2,R1-L2,W-L,w,l,0428mass,57
2,R1-L2,W-L,w,l,0430mass,63
2,R1-L2,W-L,w,l,0504mass,63
2,R1-L2,W-L,w,l,0511mass,67
2,R1-L2,W-L,w,l,0518mass,63
2,R1-L2,W-L,w,l,0525mass,67
2,R1-L2,W-L,w,l,0528mass,66
2,R1-L2,W-L,w,l,0530mass,67
2,R1-L2,W-L,w,l,0603mass,72
2,R1-L2,W-L,w,l,0610mass,74
2,R1-L2,W-L,w,l,0617mass,76
2,R1-L2,W-L,w,l,0624mass,79
2,R1-L2,W-L,w,l,0628mass,82
3,R1-L1,G-C,g,c,0324mass,44
3,R1-L1,G-C,g,c,0423mass,53
3,R1-L1,G-C,g,c,0428mass,55
3,R1-L1,G-C,g,c,0430mass,54
3,R1-L1,G-C,g,c,0504mass,55
3,R1-L1,G-C,g,c,0511mass,58
3,R1-L1,G-C,g,c,0518mass,58
3,R1-L1,G-C,g,c,0525mass,64
3,R1-L1,G-C,g,c,0528mass,61
3,R1-L1,G-C,g,c,0530mass,62
3,R1-L1,G-C,g,c,0603mass,64
3,R1-L1,G-C,g,c,0610mass,68
3,R1-L1,G-C,g,c,0617mass,77
3,R1-L1,G-C,g,c,0624mass,84
3,R1-L1,G-C,g,c,0628mass,89
4,R1-L1,G-L,g,l,0324mass,67
4,R1-L1,G-L,g,l,0423mass,69
4,R1-L1,G-L,g,l,0428mass,59
4,R1-L1,G-L,g,l,0430mass,61
4,R1-L1,G-L,g,l,0504mass,63
4,R1-L1,G-L,g,l,0511mass,66
4,R1-L1,G-L,g,l,0518mass,62
4,R1-L1,G-L,g,l,0525mass,65
4,R1-L1,G-L,g,l,0528mass,63
4,R1-L1,G-L,g,l,0530mass,66
4,R1-L1,G-L,g,l,0603mass,66
4,R1-L1,G-L,g,l,0610mass,70
4,R1-L1,G-L,g,l,0617mass,72
4,R1-L1,G-L,g,l,0624mass,79
4,R1-L1,G-L,g,l,0628mass,80
5,R1-L2,W-L,w,l,0324mass,39
5,R1-L2,W-L,w,l,0423mass,40
5,R1-L2,W-L,w,l,0428mass,38
5,R1-L2,W-L,w,l,0430mass,41
5,R1-L2,W-L,w,l,0504mass,40
5,R1-L2,W-L,w,l,0511mass,51
5,R1-L2,W-L,w,l,0518mass,40
5,R1-L2,W-L,w,l,0525mass,43
5,R1-L2,W-L,w,l,0528mass,41
5,R1-L2,W-L,w,l,0530mass,41
5,R1-L2,W-L,w,l,0603mass,43
5,R1-L2,W-L,w,l,0610mass,44
5,R1-L2,W-L,w,l,0617mass,46
5,R1-L2,W-L,w,l,0624mass,51
5,R1-L2,W-L,w,l,0628mass,50
6,R1-L2,W-C,w,c,0324mass,56
6,R1-L2,W-C,w,c,0423mass,53
6,R1-L2,W-C,w,c,0428mass,56
6,R1-L2,W-C,w,c,0430mass,55
6,R1-L2,W-C,w,c,0504mass,53
6,R1-L2,W-C,w,c,0511mass,39
6,R1-L2,W-C,w,c,0518mass,55
6,R1-L2,W-C,w,c,0525mass,57
6,R1-L2,W-C,w,c,0528mass,55
6,R1-L2,W-C,w,c,0530mass,56
6,R1-L2,W-C,w,c,0603mass,55
6,R1-L2,W-C,w,c,0610mass,56
6,R1-L2,W-C,w,c,0617mass,60
6,R1-L2,W-C,w,c,0624mass,61
6,R1-L2,W-C,w,c,0628mass,60
7,R1-L1,G-C,g,c,0324mass,78
7,R1-L1,G-C,g,c,0423mass,75
7,R1-L1,G-C,g,c,0428mass,74
7,R1-L1,G-C,g,c,0430mass,83
7,R1-L1,G-C,g,c,0504mass,75
7,R1-L1,G-C,g,c,0511mass,76
7,R1-L1,G-C,g,c,0518mass,75
7,R1-L1,G-C,g,c,0525mass,75
7,R1-L1,G-C,g,c,0528mass,77
7,R1-L1,G-C,g,c,0530mass,74
7,R1-L1,G-C,g,c,0603mass,76
7,R1-L1,G-C,g,c,0610mass,79
7,R1-L1,G-C,g,c,0617mass,79
7,R1-L1,G-C,g,c,0624mass,85
7,R1-L1,G-C,g,c,0628mass,85
8,R1-L3,G-L,g,l,0324mass,56
8,R1-L3,G-L,g,l,0423mass,61
8,R1-L3,G-L,g,l,0428mass,60
8,R1-L3,G-L,g,l,0430mass,60
8,R1-L3,G-L,g,l,0504mass,64
8,R1-L3,G-L,g,l,0511mass,63
8,R1-L3,G-L,g,l,0518mass,65
8,R1-L3,G-L,g,l,0525mass,65
8,R1-L3,G-L,g,l,0528mass,63
8,R1-L3,G-L,g,l,0530mass,62
8,R1-L3,G-L,g,l,0603mass,67
8,R1-L3,G-L,g,l,0610mass,68
8,R1-L3,G-L,g,l,0617mass,72
8,R1-L3,G-L,g,l,0624mass,78
8,R1-L3,G-L,g,l,0628mass,79
9,R1-L2,W-C,w,c,0324mass,50
9,R1-L2,W-C,w,c,0423mass,58
9,R1-L2,W-C,w,c,0428mass,59
9,R1-L2,W-C,w,c,0430mass,58
9,R1-L2,W-C,w,c,0504mass,58
9,R1-L2,W-C,w,c,0511mass,59
9,R1-L2,W-C,w,c,0518mass,56
9,R1-L2,W-C,w,c,0525mass,60
9,R1-L2,W-C,w,c,0528mass,60
9,R1-L2,W-C,w,c,0530mass,60
9,R1-L2,W-C,w,c,0603mass,60
9,R1-L2,W-C,w,c,0610mass,66
9,R1-L2,W-C,w,c,0617mass,70
9,R1-L2,W-C,w,c,0624mass,69
9,R1-L2,W-C,w,c,0628mass,71
10,R1-L4,W-L,w,l,0324mass,48
10,R1-L4,W-L,w,l,0423mass,45
10,R1-L4,W-L,w,l,0428mass,46
10,R1-L4,W-L,w,l,0430mass,47
10,R1-L4,W-L,w,l,0504mass,48
10,R1-L4,W-L,w,l,0511mass,49
10,R1-L4,W-L,w,l,0518mass,48
10,R1-L4,W-L,w,l,0525mass,50
10,R1-L4,W-L,w,l,0528mass,48
10,R1-L4,W-L,w,l,0530mass,46
10,R1-L4,W-L,w,l,0603mass,51
10,R1-L4,W-L,w,l,0610mass,51
10,R1-L4,W-L,w,l,0617mass,51
10,R1-L4,W-L,w,l,0624mass,53
10,R1-L4,W-L,w,l,0628mass,52
11,R1-L3,G-C,g,c,0324mass,56
11,R1-L3,G-C,g,c,0423mass,56
11,R1-L3,G-C,g,c,0428mass,56
11,R1-L3,G-C,g,c,0430mass,59
11,R1-L3,G-C,g,c,0504mass,59
11,R1-L3,G-C,g,c,0511mass,59
11,R1-L3,G-C,g,c,0518mass,60
11,R1-L3,G-C,g,c,0525mass,62
11,R1-L3,G-C,g,c,0528mass,59
11,R1-L3,G-C,g,c,0530mass,62
11,R1-L3,G-C,g,c,0603mass,63
11,R1-L3,G-C,g,c,0610mass,66
11,R1-L3,G-C,g,c,0617mass,67
11,R1-L3,G-C,g,c,0624mass,72
11,R1-L3,G-C,g,c,0628mass,73
12,R1-L4,W-L,w,l,0324mass,46
12,R1-L4,W-L,w,l,0423mass,45
12,R1-L4,W-L,w,l,0428mass,43
12,R1-L4,W-L,w,l,0430mass,44
12,R1-L4,W-L,w,l,0504mass,46
12,R1-L4,W-L,w,l,0511mass,48
12,R1-L4,W-L,w,l,0518mass,95
12,R1-L4,W-L,w,l,0525mass,46
12,R1-L4,W-L,w,l,0528mass,45
12,R1-L4,W-L,w,l,0530mass,46
12,R1-L4,W-L,w,l,0603mass,49
12,R1-L4,W-L,w,l,0610mass,52
12,R1-L4,W-L,w,l,0617mass,54
12,R1-L4,W-L,w,l,0624mass,56
12,R1-L4,W-L,w,l,0628mass,55
13,R1-L3,G-C,g,c,0324mass,47
13,R1-L3,G-C,g,c,0423mass,46
13,R1-L3,G-C,g,c,0428mass,45
13,R1-L3,G-C,g,c,0430mass,46
13,R1-L3,G-C,g,c,0504mass,46
13,R1-L3,G-C,g,c,0511mass,46
13,R1-L3,G-C,g,c,0518mass,46
13,R1-L3,G-C,g,c,0525mass,46
13,R1-L3,G-C,g,c,0528mass,46
13,R1-L3,G-C,g,c,0530mass,45
13,R1-L3,G-C,g,c,0603mass,39
13,R1-L3,G-C,g,c,0610mass,50
13,R1-L3,G-C,g,c,0617mass,52
13,R1-L3,G-C,g,c,0624mass,54
13,R1-L3,G-C,g,c,0628mass,55
14,R1-L3,G-L,g,l,0324mass,55
14,R1-L3,G-L,g,l,0423mass,54
14,R1-L3,G-L,g,l,0428mass,53
14,R1-L3,G-L,g,l,0430mass,53
14,R1-L3,G-L,g,l,0504mass,53
14,R1-L3,G-L,g,l,0511mass,55
14,R1-L3,G-L,g,l,0518mass,55
14,R1-L3,G-L,g,l,0525mass,55
14,R1-L3,G-L,g,l,0528mass,55
14,R1-L3,G-L,g,l,0530mass,57
14,R1-L3,G-L,g,l,0603mass,55
14,R1-L3,G-L,g,l,0610mass,58
14,R1-L3,G-L,g,l,0617mass,62
14,R1-L3,G-L,g,l,0624mass,65
14,R1-L3,G-L,g,l,0628mass,62
15,R2-L2,G-C,g,c,0324mass,71
15,R2-L2,G-C,g,c,0423mass,78
15,R2-L2,G-C,g,c,0428mass,76
15,R2-L2,G-C,g,c,0430mass,73
15,R2-L2,G-C,g,c,0504mass,75
15,R2-L2,G-C,g,c,0511mass,76
15,R2-L2,G-C,g,c,0518mass,78
15,R2-L2,G-C,g,c,0525mass,79
15,R2-L2,G-C,g,c,0528mass,80
