iguanaID,tx,diet,lps,time,totri
1,G-C,g,c,0324totri,1.419491525
1,G-C,g,c,0423totri,6.201271186
1,G-C,g,c,0428totri,5.443037975
1,G-C,g,c,0430totri,5.974106042
1,G-C,g,c,0504totri,4.752235469
1,G-C,g,c,0511totri,7.779693487
1,G-C,g,c,0525totri,5.400383142
1,G-C,g,c,0528totri,5.163043478
1,G-C,g,c,0530totri,6.513863216
1,G-C,g,c,0603totri,6.605733278
1,G-C,g,c,0610totri,6.755555556
1,G-C,g,c,0628totri,6.239175258
2,W-L,w,l,0324totri,1.25
2,W-L,w,l,0423totri,1.25
2,W-L,w,l,0428totri,0.433730454
2,W-L,w,l,0430totri,2.127003699
2,W-L,w,l,0504totri,0.95752608
2,W-L,w,l,0511totri,1.906130268
2,W-L,w,l,0525totri,2.653256705
2,W-L,w,l,0528totri,1.977424749
2,W-L,w,l,0530totri,2.822550832
2,W-L,w,l,0603totri,3.749480681
2,W-L,w,l,0610totri,4.284848485
2,W-L,w,l,0624totri,4.303030303
2,W-L,w,l,0628totri,2.944329897
3,G-C,g,c,0423totri,4.762711864
3,G-C,g,c,0428totri,3.691362621
3,G-C,g,c,0430totri,5.974106042
3,G-C,g,c,0504totri,4.728017884
3,G-C,g,c,0511totri,6.16091954
3,G-C,g,c,0525totri,3.522988506
3,G-C,g,c,0528totri,3.118729097
3,G-C,g,c,0530totri,3.66728281
3,G-C,g,c,0603totri,6.179891982
3,G-C,g,c,0610totri,4.949494949
3,G-C,g,c,0624totri,4.21010101
3,G-C,g,c,0628totri,3.888659794
4,G-L,g,l,0324totri,0.463983051
4,G-L,g,l,0423totri,5.470338983
4,G-L,g,l,0428totri,1.349590469
4,G-L,g,l,0504totri,5.38561848
4,G-L,g,l,0511totri,6.040229885
4,G-L,g,l,0525totri,3.595785441
4,G-L,g,l,0528totri,2.984949833
4,G-L,g,l,0530totri,2.129390018
4,G-L,g,l,0603totri,5.492314084
4,G-L,g,l,0610totri,6.804040404
4,G-L,g,l,0624totri,7.670707071
4,G-L,g,l,0628totri,6.053608247
5,W-L,w,l,0324totri,1.773305085
5,W-L,w,l,0423totri,1.425847458
5,W-L,w,l,0428totri,0.681310499
5,W-L,w,l,0430totri,2.667488697
5,W-L,w,l,0504totri,5.301788376
5,W-L,w,l,0511totri,6.411877395
5,W-L,w,l,0525totri,4.022988506
5,W-L,w,l,0528totri,1.287625418
5,W-L,w,l,0530totri,3.95194085
5,W-L,w,l,0610totri,3.61010101
5,W-L,w,l,0624totri,2.909090909
5,W-L,w,l,0628totri,3.397938144
6,W-C,w,c,0324totri,1.175847458
6,W-C,w,c,0423totri,0.713983051
6,W-C,w,c,0428totri,0.716679077
6,W-C,w,c,0430totri,1.588573777
6,W-C,w,c,0504totri,0.946348733
6,W-C,w,c,0511totri,1.917624521
6,W-C,w,c,0525totri,1.402298851
6,W-C,w,c,0528totri,1.135033445
6,W-C,w,c,0530totri,2.120147874
6,W-C,w,c,0603totri,2.324470295
6,W-C,w,c,0610totri,1.37979798
6,W-C,w,c,0624totri,2.206060606
6,W-C,w,c,0628totri,2.243298969
7,G-C,g,c,0324totri,1.908898305
7,G-C,g,c,0423totri,2.014830508
7,G-C,g,c,0428totri,2.069992554
7,G-C,g,c,0430totri,3.982737361
7,G-C,g,c,0504totri,3.964232489
7,G-C,g,c,0511totri,4.760536398
7,G-C,g,c,0525totri,2.634099617
7,G-C,g,c,0528totri,6.017976589
7,G-C,g,c,0530totri,2.768946396
7,G-C,g,c,0603totri,4.530535937
7,G-C,g,c,0610totri,5.56969697
7,G-C,g,c,0624totri,4.351515152
7,G-C,g,c,0628totri,6.696907216
8,G-L,g,l,0324totri,1.277542373
8,G-L,g,l,0423totri,2.639830508
8,G-L,g,l,0428totri,0.636634401
8,G-L,g,l,0430totri,1.685162351
8,G-L,g,l,0504totri,3.772354694
8,G-L,g,l,0511totri,2.239463602
8,G-L,g,l,0525totri,8.421455939
8,G-L,g,l,0528totri,1.747491639
8,G-L,g,l,0530totri,3.887245841
8,G-L,g,l,0603totri,5.448691317
8,G-L,g,l,0610totri,6.307070707
