iguanaID,tx,diet,lps,time,trtri
1,G-C,g,c,0324trtri,1.329412706
1,G-C,g,c,0423trtri,5.876140182
1,G-C,g,c,0428trtri,4.694683401
1,G-C,g,c,0430trtri,5.215858341
1,G-C,g,c,0504trtri,2.653698708
1,G-C,g,c,0511trtri,4.333333333
1,G-C,g,c,0525trtri,3.701867816
1,G-C,g,c,0528trtri,4.492552686
1,G-C,g,c,0530trtri,4.343391714
1,G-C,g,c,0603trtri,5.530139721
1,G-C,g,c,0610trtri,3.591724245
1,G-C,g,c,0628trtri,2.730844794
2,W-L,w,l,0324trtri,1.151784285
2,W-L,w,l,0423trtri,1.124579933
2,W-L,w,l,0428trtri,0.382527147
2,W-L,w,l,0430trtri,1.906291624
2,W-L,w,l,0504trtri,0.925386909
2,W-L,w,l,0511trtri,1.211925287
2,W-L,w,l,0525trtri,2.007183908
2,W-L,w,l,0528trtri,1.687925844
2,W-L,w,l,0530trtri,2.427023985
2,W-L,w,l,0603trtri,3.4499002
2,W-L,w,l,0610trtri,2.222653521
2,W-L,w,l,0624trtri,3.757084077
2,W-L,w,l,0628trtri,2.783497053
3,G-C,g,c,0423trtri,3.741798688
3,G-C,g,c,0428trtri,3.003455084
3,G-C,g,c,0430trtri,5.617017942
3,G-C,g,c,0504trtri,1.432273179
3,G-C,g,c,0511trtri,3.019755747
3,G-C,g,c,0525trtri,1.572557471
3,G-C,g,c,0528trtri,1.985026145
3,G-C,g,c,0530trtri,2.351410283
3,G-C,g,c,0603trtri,3.06746507
3,G-C,g,c,0610trtri,2.451284838
3,G-C,g,c,0624trtri,3.740780995
3,G-C,g,c,0628trtri,3.450687623
4,G-L,g,l,0324trtri,0.654504721
4,G-L,g,l,0423trtri,5.264442311
4,G-L,g,l,0428trtri,1.034057256
4,G-L,g,l,0504trtri,2.697714042
4,G-L,g,l,0511trtri,3.011494253
4,G-L,g,l,0525trtri,1.425287356
4,G-L,g,l,0528trtri,2.77254001
4,G-L,g,l,0530trtri,2.044735176
4,G-L,g,l,0603trtri,4.120159681
4,G-L,g,l,0610trtri,4.855601273
