iguanaID,tx,diet,lps,time,drom
1,G-C,g,c,0423dromstd,-0.194245348
1,G-C,g,c,0428dromstd,0.388373066
1,G-C,g,c,0430dromstd,0.140901732
1,G-C,g,c,0504dromstd,1.233770563
1,G-C,g,c,0511dromstd,0.74533272
1,G-C,g,c,0525dromstd,-0.649760878
1,G-C,g,c,0528dromstd,0.17568773
1,G-C,g,c,0530dromstd,3.562748809
1,G-C,g,c,0603dromstd,-0.699401962
1,G-C,g,c,0610dromstd,0.962290879
1,G-C,g,c,0624dromstd,-1.829545994
1,G-C,g,c,0628dromstd,2.051684338
2,W-L,w,l,0423dromstd,-0.496985228
2,W-L,w,l,0428dromstd,-1.014767511
2,W-L,w,l,0430dromstd,-1.654616513
2,W-L,w,l,0504dromstd,-0.902406031
2,W-L,w,l,0511dromstd,-0.667810395
2,W-L,w,l,0525dromstd,-0.512459501
2,W-L,w,l,0528dromstd,-0.022644993
2,W-L,w,l,0530dromstd,0.003999689
2,W-L,w,l,0603dromstd,-0.540761101
2,W-L,w,l,0610dromstd,0.426077027
2,W-L,w,l,0624dromstd,0.147634457
2,W-L,w,l,0628dromstd,1.714447539
3,G-C,g,c,0423dromstd,0.106201048
3,G-C,g,c,0428dromstd,-0.402562691
3,G-C,g,c,0430dromstd,-0.118855983
3,G-C,g,c,0504dromstd,-0.282751752
3,G-C,g,c,0511dromstd,1.146092185
3,G-C,g,c,0525dromstd,0.051129962
3,G-C,g,c,0528dromstd,-0.862642408
3,G-C,g,c,0530dromstd,0.457251715
3,G-C,g,c,0603dromstd,1.349253296
3,G-C,g,c,0610dromstd,-0.408174928
3,G-C,g,c,0624dromstd,-0.915707393
3,G-C,g,c,0628dromstd,-0.790566818
4,G-L,g,l,0423dromstd,0.193353438
4,G-L,g,l,0428dromstd,0.369883659
4,G-L,g,l,0430dromstd,0.66269574
4,G-L,g,l,0504dromstd,1.784121403
4,G-L,g,l,0511dromstd,1.617916556
4,G-L,g,l,0525dromstd,0.192354236
4,G-L,g,l,0528dromstd,-0.533060089
4,G-L,g,l,0530dromstd,1.105898607
4,G-L,g,l,0603dromstd,0.050039347
