iguanaID,tx,diet,lps,time,glycerol
1,G-C,g,c,0324gly,0.189975748
1,G-C,g,c,0423gly,0.149555376
1,G-C,g,c,0428gly,0.816167897
1,G-C,g,c,0430gly,0.834064969
1,G-C,g,c,0504gly,2.740234375
1,G-C,g,c,0511gly,4.346693387
1,G-C,g,c,0525gly,2.116232465
1,G-C,g,c,0528gly,0.742793792
1,G-C,g,c,0530gly,2.751862015
1,G-C,g,c,0603gly,1.243489583
1,G-C,g,c,0610gly,4.039347007
1,G-C,g,c,0628gly,4.692341744
2,W-L,w,l,0324gly,0.212206952
2,W-L,w,l,0423gly,0.246564268
2,W-L,w,l,0428gly,0.221531286
2,W-L,w,l,0430gly,0.333625988
2,W-L,w,l,0504gly,0.14453125
2,W-L,w,l,0511gly,1.02004008
2,W-L,w,l,0525gly,0.887775551
2,W-L,w,l,0528gly,0.44345898
2,W-L,w,l,0530gly,0.529204234
2,W-L,w,l,0603gly,0.340711806
2,W-L,w,l,0610gly,2.685223943
2,W-L,w,l,0624gly,0.640435329
2,W-L,w,l,0628gly,0.196989819
3,G-C,g,c,0423gly,1.129749394
3,G-C,g,c,0428gly,0.860862806
3,G-C,g,c,0430gly,0.272168569
3,G-C,g,c,0504gly,4.388671875
3,G-C,g,c,0511gly,4.062124248
3,G-C,g,c,0525gly,2.631262525
3,G-C,g,c,0528gly,1.541019956
3,G-C,g,c,0530gly,1.754214034
3,G-C,g,c,0603gly,4.034288194
3,G-C,g,c,0610gly,3.237756383
3,G-C,g,c,0624gly,0.542067811
3,G-C,g,c,0628gly,0.524568393
4,G-L,g,l,0324gly,0
4,G-L,g,l,0423gly,0.050525465
4,G-L,g,l,0428gly,0.518849592
4,G-L,g,l,0504gly,3.509765625
4,G-L,g,l,0511gly,3.915831663
4,G-L,g,l,0525gly,2.931863727
4,G-L,g,l,0528gly,0.261640798
4,G-L,g,l,0530gly,0.143081145
4,G-L,g,l,0603gly,1.705729167
4,G-L,g,l,0610gly,2.398493093
4,G-L,g,l,0624gly,2.714524906
4,G-L,g,l,0628gly,0.571049137
5,W-L,w,l,0324gly,0.012126112
5,W-L,w,l,0423gly,0.276879547
5,W-L,w,l,0428gly,0.05635445
5,W-L,w,l,0430gly,0.355575066
5,W-L,w,l,0504gly,0.728515625
5,W-L,w,l,0511gly,4.314629259
5,W-L,w,l,0525gly,0.669338677
5,W-L,w,l,0528gly,0.350332594
5,W-L,w,l,0530gly,2.745981968
5,W-L,w,l,0610gly,1.398074508
5,W-L,w,l,0624gly,1.82712432
5,W-L,w,l,0628gly,0.272244356
6,W-C,w,c,0324gly,0.076798707
6,W-C,w,c,0423gly,0
6,W-C,w,c,0428gly,0.068013991
6,W-C,w,c,0430gly,0.379719052
6,W-C,w,c,0504gly,0.041015625
6,W-C,w,c,0511gly,0.178356713
6,W-C,w,c,0525gly,0.30260521
6,W-C,w,c,0528gly,0.201773836
6,W-C,w,c,0530gly,1.581732654
6,W-C,w,c,0603gly,0.132378472
6,W-C,w,c,0610gly,0.154876517
6,W-C,w,c,0624gly,0.722059439
6,W-C,w,c,0628gly,0.270030987
7,G-C,g,c,0324gly,0.4890865
7,G-C,g,c,0423gly,0
7,G-C,g,c,0428gly,0.178779635
7,G-C,g,c,0430gly,0.568481124
7,G-C,g,c,0504gly,1.478515625
7,G-C,g,c,0511gly,0.629258517
7,G-C,g,c,0525gly,0.396793587
7,G-C,g,c,0528gly,0.689578714
7,G-C,g,c,0530gly,0.17248138
7,G-C,g,c,0603gly,0.308159722
7,G-C,g,c,0610gly,0.537881959
7,G-C,g,c,0624gly,0.209292591
7,G-C,g,c,0628gly,5.745905268
8,G-L,g,l,0324gly,0
8,G-L,g,l,0423gly,0.485044462
8,G-L,g,l,0428gly,0.034978624
8,G-L,g,l,0430gly,0.147058824
8,G-L,g,l,0504gly,0.693359375
8,G-L,g,l,0511gly,1.761523046
8,G-L,g,l,0525gly,5.529058116
8,G-L,g,l,0528gly,0.374722838
8,G-L,g,l,0530gly,2.534300274
8,G-L,g,l,0603gly,0.299479167
8,G-L,g,l,0610gly,4.213059858
8,G-L,g,l,0624gly,3.026370866
8,G-L,g,l,0628gly,0.528995131
9,W-C,w,c,0423gly,0.127324171
9,W-C,w,c,0430gly,0.447761194
9,W-C,w,c,0504gly,0.466796875
9,W-C,w,c,0511gly,2.977955912
9,W-C,w,c,0525gly,0.438877756
9,W-C,w,c,0528gly,1.312638581
9,W-C,w,c,0530gly,0.523324187
9,W-C,w,c,0603gly,2.7734375
9,W-C,w,c,0610gly,2.071996651
9,W-C,w,c,0624gly,1.5508581
9,W-C,w,c,0628gly,1.02478973
10,W-L,w,l,0423gly,0.973571706
10,W-L,w,l,0428gly,0.301204819
10,W-L,w,l,0430gly,0.199736611
10,W-L,w,l,0504gly,5.396484375
10,W-L,w,l,0528gly,0.485587583
10,W-L,w,l,0530gly,0.625245002
10,W-L,w,l,0603gly,1.885850694
10,W-L,w,l,0610gly,1.605274173
10,W-L,w,l,0624gly,1.699867198
10,W-L,w,l,0628gly,1.719787517
11,G-C,g,c,0324gly,0.099029911
11,G-C,g,c,0423gly,0.342013214
11,G-C,g,c,0428gly,0.215701516
11,G-C,g,c,0430gly,0.186567164
11,G-C,g,c,0504gly,2.384765625
11,G-C,g,c,0511gly,2.162324649
11,G-C,g,c,0525gly,1.2172949
11,G-C,g,c,0528gly,0.809312639
11,G-C,g,c,0530gly,0.976087809
11,G-C,g,c,0603gly,3.2421875
11,G-C,g,c,0610gly,4.771871076
11,G-C,g,c,0624gly,0.493581231
11,G-C,g,c,0628gly,5.161575919
12,W-L,w,l,0324gly,0.018189167
12,W-L,w,l,0428gly,0.342013214
12,W-L,w,l,0430gly,0.201931519
12,W-L,w,l,0504gly,3.154296875
12,W-L,w,l,0511gly,0.637274549
12,W-L,w,l,0525gly,3.711751663
12,W-L,w,l,0528gly,0.223946785
12,W-L,w,l,0530gly,3.153665229
12,W-L,w,l,0603gly,0.303819444
12,W-L,w,l,0610gly,0.822519883
12,W-L,w,l,0624gly,0.520141656
12,W-L,w,l,0628gly,2.908366534
13,G-C,g,c,0324gly,0
13,G-C,g,c,0423gly,0.233190828
13,G-C,g,c,0428gly,0.448892344
13,G-C,g,c,0430gly,0.278753292
13,G-C,g,c,0504gly,0.716796875
13,G-C,g,c,0511gly,0.490981964
13,G-C,g,c,0525gly,2.691796009
13,G-C,g,c,0528gly,0.337028825
13,G-C,g,c,0530gly,0.650725206
13,G-C,g,c,0603gly,0.338541667
13,G-C,g,c,0610gly,0.372540812
13,G-C,g,c,0624gly,1.055776892
13,G-C,g,c,0628gly,1.471890217
14,G-L,g,l,0324gly,0
14,G-L,g,l,0423gly,0.229304314
14,G-L,g,l,0428gly,0.299261562
14,G-L,g,l,0430gly,0.239244952
14,G-L,g,l,0504gly,0.5625
14,G-L,g,l,0511gly,0.442885772
14,G-L,g,l,0525gly,0.789356984
14,G-L,g,l,0528gly,0.228381375
14,G-L,g,l,0603gly,0.323350694
14,G-L,g,l,0610gly,2.134784429
14,G-L,g,l,0624gly,6.257193448
14,G-L,g,l,0628gly,0.243470562
15,G-C,g,c,0324gly,0
15,G-C,g,c,0423gly,5.380878352
15,G-C,g,c,0428gly,0.217644773
15,G-C,g,c,0430gly,0.127304653
15,G-C,g,c,0504gly,3.181640625
15,G-C,g,c,0511gly,0.424849699
15,G-C,g,c,0528gly,0.312638581
15,G-C,g,c,0530gly,0.401803214
15,G-C,g,c,0603gly,0.353732639
15,G-C,g,c,0610gly,0.207199665
15,G-C,g,c,0624gly,0.33643205
15,G-C,g,c,0628gly,0.664010624
16,W-C,w,c,0324gly,0
16,W-C,w,c,0423gly,0.223474543
16,W-C,w,c,0428gly,0.068013991
16,W-C,w,c,0430gly,0.074626866
16,W-C,w,c,0504gly,0.037109375
16,W-C,w,c,0511gly,1.543086172
16,W-C,w,c,0525gly,1.274944568
16,W-C,w,c,0528gly,5.432372506
