iguanaID,tx,diet,lps,time,igy
1,G-C,g,c,0428igy,0.117366071
1,G-C,g,c,0430igy,0.049553571
1,G-C,g,c,0504igy,0.1003125
1,G-C,g,c,0511igy,0.096071429
1,G-C,g,c,0528igy,0.055
1,G-C,g,c,0603igy,0.024508929
1,G-C,g,c,0610igy,0.046205357
2,W-L,w,l,0428igy,0.071964286
2,W-L,w,l,0430igy,0.047366071
2,W-L,w,l,0504igy,0.094107143
2,W-L,w,l,0525igy,0.198839286
2,W-L,w,l,0528igy,0.161294643
2,W-L,w,l,0610igy,0.205267857
2,W-L,w,l,0624igy,0.151160714
3,G-C,g,c,0423igy,0.060223214
3,G-C,g,c,0428igy,0.096517857
3,G-C,g,c,0430igy,0.021651786
3,G-C,g,c,0511igy,0.080669643
3,G-C,g,c,0528igy,0.085758929
3,G-C,g,c,0530igy,0.090758929
3,G-C,g,c,0603igy,0.074866071
3,G-C,g,c,0610igy,0.090267857
3,G-C,g,c,0624igy,0.008616071
4,G-L,g,l,0423igy,0.152991071
4,G-L,g,l,0428igy,0.119375
4,G-L,g,l,0430igy,0.116517857
4,G-L,g,l,0504igy,0.2371875
4,G-L,g,l,0511igy,0.234821429
4,G-L,g,l,0525igy,0.230178571
4,G-L,g,l,0528igy,0.185044643
4,G-L,g,l,0530igy,0.155714286
4,G-L,g,l,0603igy,0.153348214
4,G-L,g,l,0610igy,0.2009375
4,G-L,g,l,0624igy,0.136294643
5,W-L,w,l,0423igy,0.151428571
5,W-L,w,l,0428igy,0.107946429
5,W-L,w,l,0430igy,0.083883929
5,W-L,w,l,0504igy,0.222991071
5,W-L,w,l,0511igy,0.227767857
5,W-L,w,l,0525igy,0.159375
5,W-L,w,l,0528igy,0.206607143
5,W-L,w,l,0530igy,0.234598214
5,W-L,w,l,0610igy,0.18625
5,W-L,w,l,0624igy,0.146919643
6,W-C,w,c,0423igy,0.0925
6,W-C,w,c,0430igy,0.044732143
6,W-C,w,c,0504igy,0.0253125
6,W-C,w,c,0511igy,0.050803571
6,W-C,w,c,0525igy,0.042589286
6,W-C,w,c,0528igy,0.075223214
6,W-C,w,c,0530igy,0.164508929
6,W-C,w,c,0603igy,0.111071429
6,W-C,w,c,0610igy,0.06625
6,W-C,w,c,0624igy,0.062857143
7,G-C,g,c,0423igy,0.042901786
7,G-C,g,c,0428igy,0.082142857
7,G-C,g,c,0430igy,0.024017857
7,G-C,g,c,0504igy,0.062678571
7,G-C,g,c,0511igy,0.038080357
7,G-C,g,c,0525igy,0.04
7,G-C,g,c,0530igy,0.047723214
7,G-C,g,c,0603igy,0.0865625
7,G-C,g,c,0610igy,0.031651786
7,G-C,g,c,0624igy,0.026875
8,G-L,g,l,0423igy,0.079598214
8,G-L,g,l,0428igy,0.106205357
8,G-L,g,l,0430igy,0.0815625
8,G-L,g,l,0504igy,0.200178571
8,G-L,g,l,0511igy,0.20875
8,G-L,g,l,0525igy,0.191026786
8,G-L,g,l,0528igy,0.181919643
8,G-L,g,l,0530igy,0.201294643
8,G-L,g,l,0603igy,0.109464286
8,G-L,g,l,0624igy,0.0509375
9,W-C,w,c,0423igy,0.038392857
9,W-C,w,c,0428igy,0.0940625
9,W-C,w,c,0430igy,0.040758929
9,W-C,w,c,0504igy,0.035892857
9,W-C,w,c,0511igy,0.109419643
9,W-C,w,c,0525igy,0.043169643
9,W-C,w,c,0530igy,0.099910714
9,W-C,w,c,0603igy,0.032098214
9,W-C,w,c,0610igy,0.043839286
10,W-L,w,l,0423igy,0.061205357
10,W-L,w,l,0428igy,0.074955357
10,W-L,w,l,0430igy,0.034642857
10,W-L,w,l,0504igy,0.245848214
10,W-L,w,l,0530igy,0.122008929
10,W-L,w,l,0603igy,0.035758929
10,W-L,w,l,0610igy,0.133794643
10,W-L,w,l,0624igy,0.063169643
11,G-C,g,c,0423igy,0.043392857
11,G-C,g,c,0428igy,0.042678571
11,G-C,g,c,0430igy,0.099598214
11,G-C,g,c,0504igy,0.124598214
11,G-C,g,c,0511igy,0.053839286
11,G-C,g,c,0525igy,0.073125
11,G-C,g,c,0528igy,0.092767857
11,G-C,g,c,0530igy,0.090446429
11,G-C,g,c,0603igy,0.1559375
11,G-C,g,c,0610igy,0.128883929
11,G-C,g,c,0624igy,0.025848214
12,W-L,w,l,0428igy,0.097410714
12,W-L,w,l,0430igy,0.047723214
12,W-L,w,l,0511igy,0.200401786
12,W-L,w,l,0525igy,0.219866071
12,W-L,w,l,0528igy,0.210803571
12,W-L,w,l,0530igy,0.230892857
12,W-L,w,l,0603igy,0.142366071
12,W-L,w,l,0610igy,0.193303571
12,W-L,w,l,0624igy,0.0909375
13,G-C,g,c,0423igy,0.051473214
13,G-C,g,c,0430igy,0.034196429
13,G-C,g,c,0504igy,0.031741071
13,G-C,g,c,0511igy,0.0409375
